Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000342_21I6LW_20150612_150644E	2015-06-12_15-06-43	Indoors	
B00000343_21I6LW_20150612_150717E	2015-06-12_15-07-16	Indoors	
B00000344_21I6LW_20150612_150756E	2015-06-12_15-07-55	Indoors	
B00000345_21I6LW_20150612_150831E	2015-06-12_15-08-31	Indoors	
B00000346_21I6LW_20150612_150911E	2015-06-12_15-09-10	Indoors	
B00000347_21I6LW_20150612_150951E	2015-06-12_15-09-51	Indoors	
B00000348_21I6LW_20150612_151024E	2015-06-12_15-10-24	Indoors	
B00000349_21I6LW_20150612_151103E	2015-06-12_15-11-03	Indoors	
B00000350_21I6LW_20150612_151140E	2015-06-12_15-11-40	Indoors	
B00000351_21I6LW_20150612_151214E	2015-06-12_15-12-14	Indoors	
B00000352_21I6LW_20150612_151332E	2015-06-12_15-13-32	Indoors	
B00000353_21I6LW_20150612_151410E	2015-06-12_15-14-10	Indoors	
B00000354_21I6LW_20150612_151440E	2015-06-12_15-14-40	Indoors	
B00000355_21I6LW_20150612_151513E	2015-06-12_15-15-12	Indoors	
B00000356_21I6LW_20150612_151548E	2015-06-12_15-15-47	Indoors	
B00000357_21I6LW_20150612_151622E	2015-06-12_15-16-22	Indoors	
B00000358_21I6LW_20150612_151656E	2015-06-12_15-16-56	Indoors	
B00000359_21I6LW_20150612_151727E	2015-06-12_15-17-27	Indoors	
